UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
149781,"R",553,"R",617,"R",90,"R",503,"R",0,"R",0,"R",503,"R",472,"R",94,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",10
149842,"R",1520,"R",5778,"R",26,"R",1542,"R",1,"R",0,"R",1541,"R",1188,"R",77,"R",715,"R",7,"R",0,"R",708,"R",371,"R",52,"R",20
150066,"R",307,"R",365,"R",84,"R",323,"R",0,"R",0,"R",323,"R",225,"R",70,"R",3,"R",0,"R",0,"R",3,"R",0,"R",0,"R",10
150136,"R",3790,"R",5250,"R",72,"R",3410,"R",3,"R",0,"R",3407,"R",2630,"R",77,"R",16,"R",0,"R",0,"R",16,"R",6,"R",38,"R",15
150145,"R",221,"R",373,"R",59,"R",247,"R",0,"R",0,"R",247,"R",173,"R",70,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",12
150163,"R",1151,"R",1376,"R",84,"R",1199,"R",0,"R",0,"R",1199,"R",1056,"R",88,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",11
150172,"R",154,"R",245,"R",63,"R",106,"R",0,"R",0,"R",106,"R",42,"R",40,"R",5,"R",0,"R",0,"R",5,"R",0,"R",0,"R",13
150251,"A",,"A",,"A",,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",15
150303,"A",,"A",,"A",,"R",35,"R",0,"R",0,"R",35,"R",29,"R",83,"R",25,"R",0,"R",0,"R",25,"R",20,"R",80,"R",20
150400,"R",499,"R",522,"R",96,"R",535,"R",0,"R",0,"R",535,"R",477,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
150428,"A",,"A",,"A",,"R",4,"R",0,"R",0,"R",4,"R",4,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",5
150455,"R",202,"R",247,"R",82,"R",173,"R",0,"R",0,"R",173,"R",138,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
